CATEGORY;URL;ANCHORTEXT
PERSONAL;https://docs.google.com/spreadsheets/d/1neLA0MbPspdz_D5ZWszTIsCjlFAnGTqdvI6huzEoEac/edit#gid=0;Google Form - Monthly water meter reading
PERSONAL;https://en.ytk.fi/;Banking - YTK
PERSONAL;https://enterfinland.fi/eServices/dashboard;Banking - MIGRI Residence Permit Card (Visa)
PERSONAL;https://netbank.nordea.fi/#!/;Banking - Nordea Private Login
PERSONAL;https://palvelu.dna.fi/kirjaudu/;Banking - DNA-corporate
PERSONAL;https://rahoitus.teliasonerafinance.fi/en/MyPages/Overview;Banking - TELIA-Business
PERSONAL;https://verkkoasiointi.elisa.fi/;Banking - OMA-ELISA
PERSONAL;https://www.danskebank.fi/en-fi/Personal/Pages/Personal.aspx?secsystem=JS;Banking - Danske Login
PERSONAL;https://www.espoo.fi/fi-FI/Asioi_verkossa/Sosiaali_ja_terveyspalvelut/Hae_taydentavaa_ja_ehkaisevaa_toimeentulotukea_verkossa;Banking - Espoo-city child hobby
PERSONAL;https://www.kela.fi;Banking - KELA
PERSONAL;https://www.nordea.fi/en/business/our-services/accounts-payments/corporate-packages.html;Banking - Nordea Corporate packages
PERSONAL;https://www.op.fi/etusivu;Banking - OP.fi
PROGRAMMING;https://analytics.google.com/analytics/web/#/p251225617/reports/reportinghub;Google Analytics
PROGRAMMING;https://api.cloudflare.com/#cloudflare-images-properties;Cloudflare API docs
PROGRAMMING;https://app.short.io/users/dashboard/325285/links;SHORT.IO (URL shortener)
PROGRAMMING;https://dash.cloudflare.com/;Cloudflare Login
PROGRAMMING;https://dash.cloudflare.com/sign-up/images;Cloudflare Images
PROGRAMMING;https://matplotlib.org/gallery/index.html;Python - MatPlotLib Gallery
PROGRAMMING;https://pages.cloudflare.com/;Cloudflare Pages
PROGRAMMING;https://pandas.pydata.org/pandas-docs/stable/user_guide/visualization.html;Python - Plotting with Pandas
PROGRAMMING;https://search.google.com/search-console?utm_source=about-page&resource_id=https://www.mygingergarlickitchen.com/;Google Search Console
PROGRAMMING;https://stackabuse.com/how-to-format-dates-in-python/;Python - Date formatting
PROGRAMMING;https://talktotransformer.com;AI + NLP - OpenAI (TalkToTransformer)
PROGRAMMING;https://translate.google.com;Google Translate
PROGRAMMING;https://vercel.com/login;VERCEL login
PROGRAMMING;https://www.crummy.com/software/BeautifulSoup/bs4/doc/;Python - Beautiful Soup4 Tutorial
PROGRAMMING;https://www.google.com/adsense/new/u/0/pub-7892938469578087/home?sourceid=aso&noaccount=false&marketing=true;Google Adsense
PROGRAMMING;https://www.google.com/inputtools/try/;Google Hindi TransLiteration
SCHOOL;https://areena.yle.fi/1-3371178;School - Pikku Kakkonen (Yle Areena)
SCHOOL;https://areena.yle.fi/audio/ohjelmat/57-DDRw1lBwg;School - YLE Audio Stories
SCHOOL;https://docs.google.com/document/d/120Lny9rU6dohEgISChgTIY5tEhWBKidWxzpgL_v3YTA/edit?usp=sharing;School - English-Homework
SCHOOL;https://docs.google.com/document/d/1XzJvgbzjLRik3IzikXP2KSJ-4L76K1e0xOJQ31dM7A4/edit;School - Words I Know
SCHOOL;https://downloads.concepro.com/dropbox-public-files/LCE/cursive-alphabets-lettering.jpg;School - Cursive-letters-alphabets
SCHOOL;https://downloads.concepro.com/dropbox-public-files/LCE/cursive-ornamental-practice.jpg;School - cursive-ornamental practice-print
SCHOOL;https://edu.typingmaster.com/login?id=cdkcn9md3;School - Touch Typing Tutorial
SCHOOL;https://espoo.inschool.fi/;School - WILMA (espoo.inschool.fi)
SCHOOL;https://getcomics.info/?s=donald%20duck;Comics - Donald Duck
SCHOOL;https://oopperabaletti.fi/en/stage24/;School- Opera (Stage24 Performances)
